accuracy,budget_k,correct,dataset,mean_answer_entropy,mean_self_consistency_margin,mean_tokens_used,mean_unique_answer_rate,model,rows,split_role,strategy
0.0,2,0,gsm8k,0.6931471805579453,0.0,614.9,1.0,deepseek_r1_distill_qwen_7b,40,test_in_domain,majority_vote
0.025,2,1,gsm8k,0.6758185010439717,0.025,594.725,0.9875,deepseek_r1_distill_qwen_7b,40,validation_policy_selection,majority_vote
0.0,2,0,math500,0.6931471805579453,0.0,632.8125,1.0,deepseek_r1_distill_qwen_7b,80,strict_domain_holdout_test,majority_vote
0.0,4,0,gsm8k,1.3862943611158907,0.0,1229.55,1.0,deepseek_r1_distill_qwen_7b,40,test_in_domain,majority_vote
0.025,4,1,gsm8k,1.3570310409464392,0.01875,1191.75,0.98125,deepseek_r1_distill_qwen_7b,40,validation_policy_selection,majority_vote
0.0,4,0,math500,1.3819621912374036,0.003125,1266.3,0.996875,deepseek_r1_distill_qwen_7b,80,strict_domain_holdout_test,majority_vote
0.0,8,0,gsm8k,2.0707772019148867,0.00625,2459.425,0.99375,deepseek_r1_distill_qwen_7b,40,test_in_domain,majority_vote
0.05,8,2,gsm8k,2.0258203526808507,0.021875,2387.775,0.965625,deepseek_r1_distill_qwen_7b,40,validation_policy_selection,majority_vote
0.0,8,0,math500,2.0547970321155935,0.0078125,2533.1375,0.9828125,deepseek_r1_distill_qwen_7b,80,strict_domain_holdout_test,majority_vote
0.0,1,0,gsm8k,0.0,1.0,307.425,1.0,deepseek_r1_distill_qwen_7b,40,test_in_domain,single_sample
0.025,1,1,gsm8k,0.0,1.0,298.775,1.0,deepseek_r1_distill_qwen_7b,40,validation_policy_selection,single_sample
0.0,1,0,math500,0.0,1.0,316.2375,1.0,deepseek_r1_distill_qwen_7b,80,strict_domain_holdout_test,single_sample
0.1,2,4,gsm8k,0.5891751034741035,0.15,576.85,0.925,mistral_7b_instruct_v0p3,40,test_in_domain,majority_vote
0.0,2,0,gsm8k,0.6065037829880772,0.125,555.525,0.9375,mistral_7b_instruct_v0p3,40,validation_policy_selection,majority_vote
0.0375,2,3,math500,0.6671541612869849,0.0375,620.9,0.98125,mistral_7b_instruct_v0p3,80,strict_domain_holdout_test,majority_vote
0.125,4,5,gsm8k,1.1685393042528718,0.15,1155.8,0.8625,mistral_7b_instruct_v0p3,40,test_in_domain,majority_vote
0.025,4,1,gsm8k,1.136826521116359,0.1625,1099.075,0.84375,mistral_7b_instruct_v0p3,40,validation_policy_selection,majority_vote
0.0375,4,3,math500,1.3050450024045808,0.05625,1248.2375,0.946875,mistral_7b_instruct_v0p3,80,strict_domain_holdout_test,majority_vote
0.075,8,3,gsm8k,1.6451673088748504,0.1660714285714286,2317.325,0.759375,mistral_7b_instruct_v0p3,40,test_in_domain,majority_vote
0.025,8,1,gsm8k,1.5433312700615751,0.21875,2200.25,0.721875,mistral_7b_instruct_v0p3,40,validation_policy_selection,majority_vote
0.075,8,6,math500,1.9090787175743553,0.0796875,2487.4125,0.90625,mistral_7b_instruct_v0p3,80,strict_domain_holdout_test,majority_vote
0.025,1,1,gsm8k,0.0,1.0,298.625,1.0,mistral_7b_instruct_v0p3,40,test_in_domain,single_sample
0.05,1,2,gsm8k,0.0,1.0,280.175,1.0,mistral_7b_instruct_v0p3,40,validation_policy_selection,single_sample
0.0375,1,3,math500,0.0,1.0,308.6625,1.0,mistral_7b_instruct_v0p3,80,strict_domain_holdout_test,single_sample
0.6,2,24,gsm8k,0.31191623125052537,0.55,554.375,0.725,qwen2p5_7b_instruct,40,test_in_domain,majority_vote
0.675,2,27,gsm8k,0.27725887222257806,0.6,512.1,0.7,qwen2p5_7b_instruct,40,validation_policy_selection,majority_vote
0.1625,2,13,math500,0.5805107637171167,0.1625,632.1125,0.91875,qwen2p5_7b_instruct,80,strict_domain_holdout_test,majority_vote
0.675,4,27,gsm8k,0.5890057155565491,0.53125,1104.025,0.54375,qwen2p5_7b_instruct,40,test_in_domain,majority_vote
0.7,4,28,gsm8k,0.4981148420668459,0.61875,1021.05,0.5,qwen2p5_7b_instruct,40,validation_policy_selection,majority_vote
0.1875,4,15,math500,1.160448245965128,0.153125,1261.8,0.871875,qwen2p5_7b_instruct,80,strict_domain_holdout_test,majority_vote
0.725,8,29,gsm8k,0.8474630317228102,0.534375,2198.45,0.43125,qwen2p5_7b_instruct,40,test_in_domain,majority_vote
0.825,8,33,gsm8k,0.648308539212892,0.63125,2035.1,0.353125,qwen2p5_7b_instruct,40,validation_policy_selection,majority_vote
0.225,8,18,math500,1.7226699121112734,0.1671875,2517.5,0.83125,qwen2p5_7b_instruct,80,strict_domain_holdout_test,majority_vote
0.6,1,24,gsm8k,0.0,1.0,271.575,1.0,qwen2p5_7b_instruct,40,test_in_domain,single_sample
0.65,1,26,gsm8k,0.0,1.0,255.45,1.0,qwen2p5_7b_instruct,40,validation_policy_selection,single_sample
0.225,1,18,math500,0.0,1.0,313.9125,1.0,qwen2p5_7b_instruct,80,strict_domain_holdout_test,single_sample
0.075,2,3,gsm8k,0.658489821529998,0.05,628.7,0.975,qwen2p5_math_7b_instruct,40,test_in_domain,majority_vote
0.125,2,5,gsm8k,0.5891751034741035,0.15,613.25,0.925,qwen2p5_math_7b_instruct,40,validation_policy_selection,majority_vote
0.0375,2,3,math500,0.6671541612869849,0.0375,647.6875,0.98125,qwen2p5_math_7b_instruct,80,strict_domain_holdout_test,majority_vote
0.075,4,3,gsm8k,1.2963806626475942,0.0625,1257.425,0.94375,qwen2p5_math_7b_instruct,40,test_in_domain,majority_vote
0.125,4,5,gsm8k,1.2357302843487488,0.10625,1227.45,0.90625,qwen2p5_math_7b_instruct,40,validation_policy_selection,majority_vote
0.0375,4,3,math500,1.2877163228906323,0.0625,1296.05,0.934375,qwen2p5_math_7b_instruct,80,strict_domain_holdout_test,majority_vote
0.05,8,2,gsm8k,1.8882181012638455,0.090625,2516.9,0.884375,qwen2p5_math_7b_instruct,40,test_in_domain,majority_vote
0.175,8,7,gsm8k,1.794852469091977,0.1375,2451.65,0.846875,qwen2p5_math_7b_instruct,40,validation_policy_selection,majority_vote
0.0625,8,5,math500,1.8796792621950555,0.09375,2591.8,0.8828125,qwen2p5_math_7b_instruct,80,strict_domain_holdout_test,majority_vote
0.025,1,1,gsm8k,0.0,1.0,315.425,1.0,qwen2p5_math_7b_instruct,40,test_in_domain,single_sample
0.1,1,4,gsm8k,0.0,1.0,306.55,1.0,qwen2p5_math_7b_instruct,40,validation_policy_selection,single_sample
0.05,1,4,math500,0.0,1.0,324.425,1.0,qwen2p5_math_7b_instruct,80,strict_domain_holdout_test,single_sample
