priority,lane,model,instance_id,repo,glm_label,proxy_expected_label,file_f1,file_overlap,pred_patch_files,selected_test_count,purpose
1,primary,gpt-4o-2024-11-20,iterative__dvc_0.30.0_0.30.1,iterative/dvc,FAIL,FAIL,0.0,0,7,1,cross-model negative control
2,primary,gpt-4o-2024-11-20,iterative__dvc_2.21.1_2.21.2,iterative/dvc,FAIL,FAIL,0.0,0,1,1,cross-model negative control
3,primary,gpt-4o-2024-11-20,psf__requests_v2.12.2_v2.12.3,psf/requests,PASS,PASS,0.5,1,1,4,cross-model positive replication
4,primary,gpt-4o-2024-11-20,psf__requests_v2.27.0_v2.27.1,psf/requests,FAIL,FAIL,0.0,0,2,2,cross-model negative control
5,primary,gpt-4o-2024-11-20,psf__requests_v2.9.0_v2.9.1,psf/requests,PASS,PASS,0.25,1,1,1,cross-model positive replication
6,confirmation,deepseek-r1-0528,iterative__dvc_0.30.0_0.30.1,iterative/dvc,FAIL,FAIL,0.0,0,0,1,cross-model negative control
7,confirmation,deepseek-r1-0528,iterative__dvc_2.21.1_2.21.2,iterative/dvc,FAIL,FAIL,0.0,0,0,1,cross-model negative control
8,confirmation,deepseek-r1-0528,psf__requests_v2.12.2_v2.12.3,psf/requests,PASS,PASS,0.4,1,2,4,cross-model positive replication
9,confirmation,deepseek-r1-0528,psf__requests_v2.27.0_v2.27.1,psf/requests,FAIL,FAIL,0.0,0,0,2,cross-model negative control
10,confirmation,deepseek-r1-0528,psf__requests_v2.9.0_v2.9.1,psf/requests,PASS,PASS,0.25,1,1,1,cross-model positive replication
