evaluation_role,retention,source_budget_k,source_model,source_policy_accuracy_on_target,source_strategy,target_model,target_optimal_accuracy,target_optimal_budget_k,target_optimal_strategy,target_rows
test_in_domain,1.0,8,qwen2p5_7b_instruct,0.725,majority_vote,qwen2p5_7b_instruct,0.725,8,majority_vote,40
strict_domain_holdout_test,1.0,8,qwen2p5_7b_instruct,0.225,majority_vote,qwen2p5_7b_instruct,0.225,8,majority_vote,80
test_in_domain,1.0,8,qwen2p5_7b_instruct,0.05,majority_vote,qwen2p5_math_7b_instruct,0.05,8,majority_vote,40
strict_domain_holdout_test,1.0,8,qwen2p5_7b_instruct,0.0625,majority_vote,qwen2p5_math_7b_instruct,0.0625,8,majority_vote,80
test_in_domain,,8,qwen2p5_7b_instruct,0.0,majority_vote,deepseek_r1_distill_qwen_7b,0.0,8,majority_vote,40
strict_domain_holdout_test,,8,qwen2p5_7b_instruct,0.0,majority_vote,deepseek_r1_distill_qwen_7b,0.0,8,majority_vote,80
test_in_domain,2.9999999999999996,8,qwen2p5_7b_instruct,0.075,majority_vote,mistral_7b_instruct_v0p3,0.025,1,single_sample,40
strict_domain_holdout_test,2.0,8,qwen2p5_7b_instruct,0.075,majority_vote,mistral_7b_instruct_v0p3,0.0375,1,single_sample,80
test_in_domain,1.0,8,qwen2p5_math_7b_instruct,0.725,majority_vote,qwen2p5_7b_instruct,0.725,8,majority_vote,40
strict_domain_holdout_test,1.0,8,qwen2p5_math_7b_instruct,0.225,majority_vote,qwen2p5_7b_instruct,0.225,8,majority_vote,80
test_in_domain,1.0,8,qwen2p5_math_7b_instruct,0.05,majority_vote,qwen2p5_math_7b_instruct,0.05,8,majority_vote,40
strict_domain_holdout_test,1.0,8,qwen2p5_math_7b_instruct,0.0625,majority_vote,qwen2p5_math_7b_instruct,0.0625,8,majority_vote,80
test_in_domain,,8,qwen2p5_math_7b_instruct,0.0,majority_vote,deepseek_r1_distill_qwen_7b,0.0,8,majority_vote,40
strict_domain_holdout_test,,8,qwen2p5_math_7b_instruct,0.0,majority_vote,deepseek_r1_distill_qwen_7b,0.0,8,majority_vote,80
test_in_domain,2.9999999999999996,8,qwen2p5_math_7b_instruct,0.075,majority_vote,mistral_7b_instruct_v0p3,0.025,1,single_sample,40
strict_domain_holdout_test,2.0,8,qwen2p5_math_7b_instruct,0.075,majority_vote,mistral_7b_instruct_v0p3,0.0375,1,single_sample,80
test_in_domain,1.0,8,deepseek_r1_distill_qwen_7b,0.725,majority_vote,qwen2p5_7b_instruct,0.725,8,majority_vote,40
strict_domain_holdout_test,1.0,8,deepseek_r1_distill_qwen_7b,0.225,majority_vote,qwen2p5_7b_instruct,0.225,8,majority_vote,80
test_in_domain,1.0,8,deepseek_r1_distill_qwen_7b,0.05,majority_vote,qwen2p5_math_7b_instruct,0.05,8,majority_vote,40
strict_domain_holdout_test,1.0,8,deepseek_r1_distill_qwen_7b,0.0625,majority_vote,qwen2p5_math_7b_instruct,0.0625,8,majority_vote,80
test_in_domain,,8,deepseek_r1_distill_qwen_7b,0.0,majority_vote,deepseek_r1_distill_qwen_7b,0.0,8,majority_vote,40
strict_domain_holdout_test,,8,deepseek_r1_distill_qwen_7b,0.0,majority_vote,deepseek_r1_distill_qwen_7b,0.0,8,majority_vote,80
test_in_domain,2.9999999999999996,8,deepseek_r1_distill_qwen_7b,0.075,majority_vote,mistral_7b_instruct_v0p3,0.025,1,single_sample,40
strict_domain_holdout_test,2.0,8,deepseek_r1_distill_qwen_7b,0.075,majority_vote,mistral_7b_instruct_v0p3,0.0375,1,single_sample,80
test_in_domain,0.8275862068965517,1,mistral_7b_instruct_v0p3,0.6,single_sample,qwen2p5_7b_instruct,0.725,8,majority_vote,40
strict_domain_holdout_test,1.0,1,mistral_7b_instruct_v0p3,0.225,single_sample,qwen2p5_7b_instruct,0.225,8,majority_vote,80
test_in_domain,0.5,1,mistral_7b_instruct_v0p3,0.025,single_sample,qwen2p5_math_7b_instruct,0.05,8,majority_vote,40
strict_domain_holdout_test,0.8,1,mistral_7b_instruct_v0p3,0.05,single_sample,qwen2p5_math_7b_instruct,0.0625,8,majority_vote,80
test_in_domain,,1,mistral_7b_instruct_v0p3,0.0,single_sample,deepseek_r1_distill_qwen_7b,0.0,8,majority_vote,40
strict_domain_holdout_test,,1,mistral_7b_instruct_v0p3,0.0,single_sample,deepseek_r1_distill_qwen_7b,0.0,8,majority_vote,80
test_in_domain,1.0,1,mistral_7b_instruct_v0p3,0.025,single_sample,mistral_7b_instruct_v0p3,0.025,1,single_sample,40
strict_domain_holdout_test,1.0,1,mistral_7b_instruct_v0p3,0.0375,single_sample,mistral_7b_instruct_v0p3,0.0375,1,single_sample,80
