model,instance_id,repo,gold_patch_files,pred_patch_files,file_overlap,file_precision,file_recall,file_f1,exact_file_set,zero_file_overlap,added_line_jaccard,deleted_line_jaccard,gold_fail_to_pass,gold_pass_to_pass,problem_chars
deepseek-r1-0528,conan-io__conan_2.0.14_2.0.15,conan-io/conan,78,0,0,0.0,0.0,0.0,False,True,0.0,0.0,72,649,7467
deepseek-r1-0528,conan-io__conan_2.0.2_2.0.3,conan-io/conan,48,0,0,0.0,0.0,0.0,False,True,0.0,0.0,8,317,3918
deepseek-r1-0528,dask__dask_2022.9.2_2022.10.0,dask/dask,50,2,2,1.0,0.04,0.07692307692307693,False,False,0.0019157088122605363,0.0,44,2861,1891
deepseek-r1-0528,dask__dask_2023.3.2_2023.4.0,dask/dask,69,1,1,1.0,0.014492753623188406,0.02857142857142857,False,False,0.0,0.0010209290454313426,61,6246,3407
deepseek-r1-0528,dask__dask_2023.6.0_2023.6.1,dask/dask,33,0,0,0.0,0.0,0.0,False,True,0.0,0.0,105,3415,1885
deepseek-r1-0528,dask__dask_2023.6.1_2023.7.0,dask/dask,9,1,1,1.0,0.1111111111111111,0.19999999999999998,False,False,0.012048192771084338,0.041666666666666664,5,707,930
deepseek-r1-0528,dask__dask_2023.8.0_2023.8.1,dask/dask,7,0,0,0.0,0.0,0.0,False,True,0.0,0.0,11,2796,757
deepseek-r1-0528,dask__dask_2023.9.2_2023.9.3,dask/dask,11,4,2,0.5,0.18181818181818182,0.26666666666666666,False,False,0.01,0.06666666666666667,2,1629,1066
deepseek-r1-0528,dask__dask_2024.1.0_2024.1.1,dask/dask,32,0,0,0.0,0.0,0.0,False,True,0.0,0.0,2774,5778,4935
deepseek-r1-0528,dask__dask_2024.3.1_2024.4.0,dask/dask,12,2,2,1.0,0.16666666666666666,0.2857142857142857,False,False,0.007042253521126761,0.020202020202020204,2,2747,2053
deepseek-r1-0528,iterative__dvc_0.30.0_0.30.1,iterative/dvc,2,0,0,0.0,0.0,0.0,False,True,0.0,0.0,1,12,57
deepseek-r1-0528,iterative__dvc_0.33.1_0.34.0,iterative/dvc,29,0,0,0.0,0.0,0.0,False,True,0.0,0.0,1,77,1036
deepseek-r1-0528,iterative__dvc_0.35.3_0.35.4,iterative/dvc,6,0,0,0.0,0.0,0.0,False,True,0.0,0.0,2,26,127
deepseek-r1-0528,iterative__dvc_0.52.1_0.53.1,iterative/dvc,42,0,0,0.0,0.0,0.0,False,True,0.0,0.0,132,0,1393
deepseek-r1-0528,iterative__dvc_0.89.0_0.90.0,iterative/dvc,14,0,0,0.0,0.0,0.0,False,True,0.0,0.0,27,282,330
