idx,case_type,json_valid,parse_error,label,verifier_prediction,source_id_match,title_similarity,content_similarity,year_match,claimed_title,claimed_year,claimed_doi,claimed_arxiv_id,gold_title,research_question,raw_output
0,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,PSR J0030+0451 Mass and Radius from NICER Data and Implications for the Properties of Neutron Star Matter,How do simultaneous measurements of a neutron stars mass and radius constrain the equation of state of dense nuclear matter?,"{
  ""claimed_title"": ""PSR J0030+0451 Mass and Radius from NICER Data and Implications for the Properties of Neutron Star Matter"",
  ""claimed_year"": 2019,
  ""claimed_doi"": ""https://doi.org/10.3847/2041-8213/ab50c5"",
  ""claimed_arxiv_id"": ""1912.05705v1"",
  ""claimed_content"": ""Neutron stars are not only of astrophysical interest, but are also of great interest to nuclear physicists, because their attributes can be used to determine the properties of the dense matter in their cores."""
0,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,Designing an artificial intelligence tool to understand student engagement based on teacher's behaviours and movements in video conferencing,"What core cognitive abilities and types of knowledge would an artificial system need to function autonomously as a scientist, including proposing hypotheses, designing experiments, and interpreting results?","{
  ""claimed_title"": ""PSR J0030+0451 Mass and Radius from NICER Data and Implications for the Properties of Neutron Star Matter"",
  ""claimed_year"": 2019,
  ""claimed_doi"": ""https://doi.org/10.3847/2041-8213/ab50c5"",
  ""claimed_arxiv_id"": ""1912.05705v1"",
  ""claimed_content"": ""Neutron stars are not only of astrophysical interest, but are also of great interest to nuclear physicists, because their attributes can be used to determine the properties of the dense matter in their cores."""
1,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,Designing an artificial intelligence tool to understand student engagement based on teacher's behaviours and movements in video conferencing,"What core cognitive abilities and types of knowledge would an artificial system need to function autonomously as a scientist, including proposing hypotheses, designing experiments, and interpreting results?","assistant

{""claimed_title"": ""Designing an AI tool to improve student engagement in online learning environments"", 
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.1016/j.caeai.2023.100187"","
1,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,The PI3KAKT network at the interface of oncogenic signalling and cancer metabolism,What criteria and validation steps are used to determine whether a molecular signature is truly common across many cancer types and clinically useful for diagnosis or prognosis?,"assistant

{""claimed_title"": ""Designing an AI tool to improve student engagement in online learning environments"", 
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.1016/j.caeai.2023.100187"","
2,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,The PI3KAKT network at the interface of oncogenic signalling and cancer metabolism,What criteria and validation steps are used to determine whether a molecular signature is truly common across many cancer types and clinically useful for diagnosis or prognosis?,"assistant

{""claimed_title"": ""The PI3K–AKT network at the interface of oncogenic signalling and cancer metabolism"", 
""claimed_title"": ""The PI3K–AKT network at the interface of oncogenic signalling and cancer metabolism"","
2,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,Generalized Wiedemann-Franz law in a two-site charge Kondo circuit: Lorenz ratio as a manifestation of the orthogonality catastrophe,"How do precise measurements of rare B meson decays to muon pairs constrain extensions of the Standard Model, and which classes of new-physics models are most strongly affected?","assistant

{""claimed_title"": ""The PI3K–AKT network at the interface of oncogenic signalling and cancer metabolism"", 
""claimed_title"": ""The PI3K–AKT network at the interface of oncogenic signalling and cancer metabolism"","
3,source_conditioned_supported,False,Invalid control character at: line 1 column 152 (char 151),supported,hallucinated,False,0.0,0.0,False,,,,,Generalized Wiedemann-Franz law in a two-site charge Kondo circuit: Lorenz ratio as a manifestation of the orthogonality catastrophe,"How do precise measurements of rare B meson decays to muon pairs constrain extensions of the Standard Model, and which classes of new-physics models are most strongly affected?","assistant

{""claimed_title"": ""Generalized Wiedemann-Franz law in a two-site charge Kondo circuit: Lorenz ratio as a manifestation of the orthogonality catastrophe
""Generalized Wiedemann-Franz law in a two-site charge Kondo circuit: Lorenz ratio as a manifestation of the orthogonality catastrophe

{
  ""claimed_title"": ""Generalized Wiedemann-Franz law in a two-site charge Kondo circuit, use the first sentence of the abstract.
""A joint measurement is presented of the branching fractions B^0_s\to^+^+ decay in a two-site charge Kondo model
Authors: M. B. and M. A. C.
Journal: Physical Review B
Volume: 108
Issue: 10.1103/PhysRevB.108.081108
arXiv ID: 1411.4413v2
}"
3,shifted_source_negative,False,Invalid control character at: line 1 column 152 (char 151),hallucinated,hallucinated,False,0.0,0.0,False,,,,,The gut microbiome in neurological disorders,"What are the main statistical challenges unique to analyzing microbiome sequencing data, and what best-practice approaches are recommended to address them?","assistant

{""claimed_title"": ""Generalized Wiedemann-Franz law in a two-site charge Kondo circuit: Lorenz ratio as a manifestation of the orthogonality catastrophe
""Generalized Wiedemann-Franz law in a two-site charge Kondo circuit: Lorenz ratio as a manifestation of the orthogonality catastrophe

{
  ""claimed_title"": ""Generalized Wiedemann-Franz law in a two-site charge Kondo circuit, use the first sentence of the abstract.
""A joint measurement is presented of the branching fractions B^0_s\to^+^+ decay in a two-site charge Kondo model
Authors: M. B. and M. A. C.
Journal: Physical Review B
Volume: 108
Issue: 10.1103/PhysRevB.108.081108
arXiv ID: 1411.4413v2
}"
4,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,The gut microbiome in neurological disorders,"What are the main statistical challenges unique to analyzing microbiome sequencing data, and what best-practice approaches are recommended to address them?","assistant

{""claimed_title"": ""The gut microbiome in neurological disorders"", ""claimed_year"": 2019, ""claimed_doi"": ""https://doi.org/10.1016/j.forts.2019.1

{""claimed_title"": ""The gut microbiome in neurological disorders"", ""claimed_year"": 2019, ""claimed_doi"": ""https://doi.org/10.1016/j.forts.2019.1, ""claimed_arxiv_id"": ""2303.16722v1, ""claimed_content"": ""The gut microbiome in neurological disorders: a new frontier in psychiatry
Author: 2019
arX.10.1016/j.forts.2019. 

{
""claimed_title"": ""The gut microbiome in neurological disorders"", ""claimed_year"": 2019, ""claimed_doi"": ""The gut microbiome in neurological disorders have been reported, and the need"
4,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,An ensemble learning-based framework for breast cancer prediction,How can machine learning models trained on gene expression data account for tissue-of-origin effects to avoid confounding when identifying cancer-specific biomarkers?,"assistant

{""claimed_title"": ""The gut microbiome in neurological disorders"", ""claimed_year"": 2019, ""claimed_doi"": ""https://doi.org/10.1016/j.forts.2019.1

{""claimed_title"": ""The gut microbiome in neurological disorders"", ""claimed_year"": 2019, ""claimed_doi"": ""https://doi.org/10.1016/j.forts.2019.1, ""claimed_arxiv_id"": ""2303.16722v1, ""claimed_content"": ""The gut microbiome in neurological disorders: a new frontier in psychiatry
Author: 2019
arX.10.1016/j.forts.2019. 

{
""claimed_title"": ""The gut microbiome in neurological disorders"", ""claimed_year"": 2019, ""claimed_doi"": ""The gut microbiome in neurological disorders have been reported, and the need"
