model,valid_rows,mean_file_f1_on_valid_tasks,zero_overlap_rows,threshold_0p05_accuracy,threshold_0p05_f1,threshold_0p05_predicted_passes,best_threshold,best_accuracy,best_precision,best_recall,best_f1,posthoc_beats_metadata_baseline
deepseek-r1-0528,5,0.13,3,1.0,1.0,2,0.05,1.0,1.0,1.0,1.0,True
gpt-4o-2024-11-20,5,0.15,3,1.0,1.0,2,0.05,1.0,1.0,1.0,1.0,True
gpt-4.1-2025-04-14,5,0.42000000000000004,2,0.8,0.8,3,0.05,0.8,0.6666666666666666,1.0,0.8,False
gpt-5-nano-2025-08-07,5,0.08,4,0.8,0.6666666666666666,1,0.05,0.8,1.0,0.5,0.6666666666666666,False
kimi-k2-instruct,5,0.5222222222222223,1,0.6,0.6666666666666666,4,0.05,0.6,0.5,1.0,0.6666666666666666,False
o3-2025-04-16,5,0.28438596491228074,1,0.6,0.6666666666666666,4,0.05,0.6,0.5,1.0,0.6666666666666666,False
glm-4p5,5,0.6533333333333333,0,0.4,0.5714285714285715,5,0.0,0.4,0.4,1.0,0.5714285714285715,False
gpt-5-2025-08-07,5,0.5868686868686869,0,0.4,0.5714285714285715,5,0.0,0.4,0.4,1.0,0.5714285714285715,False
gpt-5-mini-2025-08-07,5,0.5577777777777777,0,0.4,0.5714285714285715,5,0.0,0.4,0.4,1.0,0.5714285714285715,False
qwen3-coder-480b-a35b-instruct,5,0.6133333333333333,0,0.4,0.5714285714285715,5,0.0,0.4,0.4,1.0,0.5714285714285715,False
gpt-oss-120b,5,0.3904761904761905,2,0.0,0.0,3,0.0,0.4,0.4,1.0,0.5714285714285715,False
