base_accuracy_gap,evaluation_role,retention,source_base_validation_accuracy,source_budget_k,source_family,source_model,source_policy_accuracy_on_target,source_scale_b,source_strategy,target_base_validation_accuracy,target_family,target_model,target_optimal_accuracy,target_optimal_budget_k,target_optimal_strategy,target_rows,target_scale_b
0.0,test_in_domain,1.0,0.65,8,qwen,qwen2p5_7b_instruct,0.725,7.0,majority_vote,0.65,qwen,qwen2p5_7b_instruct,0.725,8,majority_vote,40,7.0
0.0,strict_domain_holdout_test,1.0,0.65,8,qwen,qwen2p5_7b_instruct,0.225,7.0,majority_vote,0.65,qwen,qwen2p5_7b_instruct,0.225,8,majority_vote,80,7.0
0.55,test_in_domain,1.0,0.65,8,qwen,qwen2p5_7b_instruct,0.05,7.0,majority_vote,0.1,qwen_math,qwen2p5_math_7b_instruct,0.05,8,majority_vote,40,7.0
0.55,strict_domain_holdout_test,1.0,0.65,8,qwen,qwen2p5_7b_instruct,0.0625,7.0,majority_vote,0.1,qwen_math,qwen2p5_math_7b_instruct,0.0625,8,majority_vote,80,7.0
0.6,test_in_domain,2.9999999999999996,0.65,8,qwen,qwen2p5_7b_instruct,0.075,7.0,majority_vote,0.05,mistral,mistral_7b_instruct_v0p3,0.025,1,single_sample,40,7.0
0.6,strict_domain_holdout_test,2.0,0.65,8,qwen,qwen2p5_7b_instruct,0.075,7.0,majority_vote,0.05,mistral,mistral_7b_instruct_v0p3,0.0375,1,single_sample,80,7.0
0.55,test_in_domain,1.0,0.1,8,qwen_math,qwen2p5_math_7b_instruct,0.725,7.0,majority_vote,0.65,qwen,qwen2p5_7b_instruct,0.725,8,majority_vote,40,7.0
0.55,strict_domain_holdout_test,1.0,0.1,8,qwen_math,qwen2p5_math_7b_instruct,0.225,7.0,majority_vote,0.65,qwen,qwen2p5_7b_instruct,0.225,8,majority_vote,80,7.0
0.0,test_in_domain,1.0,0.1,8,qwen_math,qwen2p5_math_7b_instruct,0.05,7.0,majority_vote,0.1,qwen_math,qwen2p5_math_7b_instruct,0.05,8,majority_vote,40,7.0
0.0,strict_domain_holdout_test,1.0,0.1,8,qwen_math,qwen2p5_math_7b_instruct,0.0625,7.0,majority_vote,0.1,qwen_math,qwen2p5_math_7b_instruct,0.0625,8,majority_vote,80,7.0
0.05,test_in_domain,2.9999999999999996,0.1,8,qwen_math,qwen2p5_math_7b_instruct,0.075,7.0,majority_vote,0.05,mistral,mistral_7b_instruct_v0p3,0.025,1,single_sample,40,7.0
0.05,strict_domain_holdout_test,2.0,0.1,8,qwen_math,qwen2p5_math_7b_instruct,0.075,7.0,majority_vote,0.05,mistral,mistral_7b_instruct_v0p3,0.0375,1,single_sample,80,7.0
0.625,test_in_domain,1.0,0.025,8,deepseek_distill_qwen,deepseek_r1_distill_qwen_7b,0.725,7.0,majority_vote,0.65,qwen,qwen2p5_7b_instruct,0.725,8,majority_vote,40,7.0
0.625,strict_domain_holdout_test,1.0,0.025,8,deepseek_distill_qwen,deepseek_r1_distill_qwen_7b,0.225,7.0,majority_vote,0.65,qwen,qwen2p5_7b_instruct,0.225,8,majority_vote,80,7.0
0.07500000000000001,test_in_domain,1.0,0.025,8,deepseek_distill_qwen,deepseek_r1_distill_qwen_7b,0.05,7.0,majority_vote,0.1,qwen_math,qwen2p5_math_7b_instruct,0.05,8,majority_vote,40,7.0
0.07500000000000001,strict_domain_holdout_test,1.0,0.025,8,deepseek_distill_qwen,deepseek_r1_distill_qwen_7b,0.0625,7.0,majority_vote,0.1,qwen_math,qwen2p5_math_7b_instruct,0.0625,8,majority_vote,80,7.0
0.025,test_in_domain,2.9999999999999996,0.025,8,deepseek_distill_qwen,deepseek_r1_distill_qwen_7b,0.075,7.0,majority_vote,0.05,mistral,mistral_7b_instruct_v0p3,0.025,1,single_sample,40,7.0
0.025,strict_domain_holdout_test,2.0,0.025,8,deepseek_distill_qwen,deepseek_r1_distill_qwen_7b,0.075,7.0,majority_vote,0.05,mistral,mistral_7b_instruct_v0p3,0.0375,1,single_sample,80,7.0
0.6,test_in_domain,0.8275862068965517,0.05,1,mistral,mistral_7b_instruct_v0p3,0.6,7.0,single_sample,0.65,qwen,qwen2p5_7b_instruct,0.725,8,majority_vote,40,7.0
0.6,strict_domain_holdout_test,1.0,0.05,1,mistral,mistral_7b_instruct_v0p3,0.225,7.0,single_sample,0.65,qwen,qwen2p5_7b_instruct,0.225,8,majority_vote,80,7.0
0.05,test_in_domain,0.5,0.05,1,mistral,mistral_7b_instruct_v0p3,0.025,7.0,single_sample,0.1,qwen_math,qwen2p5_math_7b_instruct,0.05,8,majority_vote,40,7.0
0.05,strict_domain_holdout_test,0.8,0.05,1,mistral,mistral_7b_instruct_v0p3,0.05,7.0,single_sample,0.1,qwen_math,qwen2p5_math_7b_instruct,0.0625,8,majority_vote,80,7.0
0.0,test_in_domain,1.0,0.05,1,mistral,mistral_7b_instruct_v0p3,0.025,7.0,single_sample,0.05,mistral,mistral_7b_instruct_v0p3,0.025,1,single_sample,40,7.0
0.0,strict_domain_holdout_test,1.0,0.05,1,mistral,mistral_7b_instruct_v0p3,0.0375,7.0,single_sample,0.05,mistral,mistral_7b_instruct_v0p3,0.0375,1,single_sample,80,7.0
