idx,case_type,label,original_json_valid,repair_status,repair_valid,verifier_prediction,source_id_match,title_similarity,content_similarity,year_match,content_grounded,claimed_title,claimed_year,claimed_doi,claimed_arxiv_id,gold_title,research_question
0,source_conditioned_supported,supported,False,regex_repair,True,supported,True,1.0,1.0,True,True,PSR J0030+0451 Mass and Radius from NICER Data and Implications for the Properties of Neutron Star Matter,2019,https://doi.org/10.3847/2041-8213/ab50c5,1912.05705v1,PSR J0030+0451 Mass and Radius from NICER Data and Implications for the Properties of Neutron Star Matter,How do simultaneous measurements of a neutron star’s mass and radius constrain the equation of state of dense nuclear matter?
0,shifted_source_negative,hallucinated,False,regex_repair,True,hallucinated,False,0.15510204081632653,0.015655577299412915,False,False,PSR J0030+0451 Mass and Radius from NICER Data and Implications for the Properties of Neutron Star Matter,2019,https://doi.org/10.3847/2041-8213/ab50c5,1912.05705v1,Designing an artificial intelligence tool to understand student engagement based on teacher's behaviours and movements in video conferencing,"What core cognitive abilities and types of knowledge would an artificial system need to function autonomously as a scientist, including proposing hypotheses, designing experiments, and interpreting results?"
1,source_conditioned_supported,supported,False,regex_repair,True,hallucinated,True,0.5675675675675675,0.0,True,False,Designing an AI tool to improve student engagement in online learning environments,2023,https://doi.org/10.1016/j.caeai.2023.100187,,Designing an artificial intelligence tool to understand student engagement based on teacher's behaviours and movements in video conferencing,"What core cognitive abilities and types of knowledge would an artificial system need to function autonomously as a scientist, including proposing hypotheses, designing experiments, and interpreting results?"
1,shifted_source_negative,hallucinated,False,regex_repair,True,hallucinated,False,0.23170731707317074,0.0,False,False,Designing an AI tool to improve student engagement in online learning environments,2023,https://doi.org/10.1016/j.caeai.2023.100187,,The PI3K–AKT network at the interface of oncogenic signalling and cancer metabolism,What criteria and validation steps are used to determine whether a molecular signature is truly common across many cancer types and clinically useful for diagnosis or prognosis?
2,source_conditioned_supported,supported,False,unrepairable:no_json_object,False,hallucinated,False,0.0,0.0,False,False,,,,,The PI3K–AKT network at the interface of oncogenic signalling and cancer metabolism,What criteria and validation steps are used to determine whether a molecular signature is truly common across many cancer types and clinically useful for diagnosis or prognosis?
2,shifted_source_negative,hallucinated,False,unrepairable:no_json_object,False,hallucinated,False,0.0,0.0,False,False,,,,,Generalized Wiedemann-Franz law in a two-site charge Kondo circuit: Lorenz ratio as a manifestation of the orthogonality catastrophe,"How do precise measurements of rare B meson decays to muon pairs constrain extensions of the Standard Model, and which classes of new-physics models are most strongly affected?"
3,source_conditioned_supported,supported,False,unrepairable:Invalid control character at: line 1 column 152 (char 151),False,hallucinated,False,0.0,0.0,False,False,,,,,Generalized Wiedemann-Franz law in a two-site charge Kondo circuit: Lorenz ratio as a manifestation of the orthogonality catastrophe,"How do precise measurements of rare B meson decays to muon pairs constrain extensions of the Standard Model, and which classes of new-physics models are most strongly affected?"
3,shifted_source_negative,hallucinated,False,unrepairable:Invalid control character at: line 1 column 152 (char 151),False,hallucinated,False,0.0,0.0,False,False,,,,,The gut microbiome in neurological disorders,"What are the main statistical challenges unique to analyzing microbiome sequencing data, and what best-practice approaches are recommended to address them?"
4,source_conditioned_supported,supported,False,regex_repair,True,hallucinated,True,1.0,0.011494252873563218,True,False,The gut microbiome in neurological disorders,2019,"https://doi.org/10.1016/j.forts.2019.1 {""claimed_title"": ""The gut microbiome in neurological disorders"", ""claimed_year"": 2019, ""claimed_doi"": ""https://doi.org/10.1016/j.forts.2019.1",2303.16722v1,The gut microbiome in neurological disorders,"What are the main statistical challenges unique to analyzing microbiome sequencing data, and what best-practice approaches are recommended to address them?"
4,shifted_source_negative,hallucinated,False,regex_repair,True,hallucinated,False,0.1834862385321101,0.020596205962059622,False,False,The gut microbiome in neurological disorders,2019,"https://doi.org/10.1016/j.forts.2019.1 {""claimed_title"": ""The gut microbiome in neurological disorders"", ""claimed_year"": 2019, ""claimed_doi"": ""https://doi.org/10.1016/j.forts.2019.1",2303.16722v1,An ensemble learning-based framework for breast cancer prediction,How can machine learning models trained on gene expression data account for tissue-of-origin effects to avoid confounding when identifying cancer-specific biomarkers?
5,source_conditioned_supported,supported,False,regex_repair,True,supported,True,1.0,1.0,True,True,An ensemble learning-based framework for breast cancer prediction,2023,https://doi.org/10.1016/j.dajour.2023.100372,1906.07794v1,An ensemble learning-based framework for breast cancer prediction,How can machine learning models trained on gene expression data account for tissue-of-origin effects to avoid confounding when identifying cancer-specific biomarkers?
5,shifted_source_negative,hallucinated,False,regex_repair,True,hallucinated,False,0.10810810810810811,0.010090817356205853,False,False,An ensemble learning-based framework for breast cancer prediction,2023,https://doi.org/10.1016/j.dajour.2023.100372,1906.07794v1,Symmetry and Topology in Non-Hermitian Physics,How can encircling multiple exceptional points and the resulting nonadiabatic cyclic geometric phases be detected experimentally in one-dimensional non-Hermitian systems?
6,source_conditioned_supported,supported,False,regex_repair,True,hallucinated,True,0.9130434782608695,0.0,True,False,Symmetry and Topology in Non-Hermitian Systems,2019,https://doi.org/10.1103/physrevx.9.041015,,Symmetry and Topology in Non-Hermitian Physics,How can encircling multiple exceptional points and the resulting nonadiabatic cyclic geometric phases be detected experimentally in one-dimensional non-Hermitian systems?
6,shifted_source_negative,hallucinated,False,regex_repair,True,hallucinated,False,0.25,0.0,False,False,Symmetry and Topology in Non-Hermitian Systems,2019,https://doi.org/10.1103/physrevx.9.041015,,Onychiol B attenuates lipopolysaccharide-induced inflammation via MAPK/NF-κB pathways and acute lung injury in vivo,How do precise measurements of the branching fractions for rare decays of neutral B mesons into muon pairs help constrain or rule out theories beyond the Standard Model?
7,source_conditioned_supported,supported,False,unrepairable:Invalid control character at: line 1 column 136 (char 135),False,hallucinated,False,0.0,0.0,False,False,,,,,Onychiol B attenuates lipopolysaccharide-induced inflammation via MAPK/NF-κB pathways and acute lung injury in vivo,How do precise measurements of the branching fractions for rare decays of neutral B mesons into muon pairs help constrain or rule out theories beyond the Standard Model?
7,shifted_source_negative,hallucinated,False,unrepairable:Invalid control character at: line 1 column 136 (char 135),False,hallucinated,False,0.0,0.0,False,False,,,,,Performance of neural network basecalling tools for Oxford Nanopore sequencing,"How do Random Neural Networks differ from conventional neural network models in their architecture and training dynamics, and in what kinds of supervised learning problems are they most advantageous to use?"
8,source_conditioned_supported,supported,True,strict_json,True,supported,True,1.0,1.0,True,True,Performance of neural network basecalling tools for Oxford Nanopore sequencing,2019,https://doi.org/10.1186/s13059-019-1727-y,1609.04846v1,Performance of neural network basecalling tools for Oxford Nanopore sequencing,"How do Random Neural Networks differ from conventional neural network models in their architecture and training dynamics, and in what kinds of supervised learning problems are they most advantageous to use?"
8,shifted_source_negative,hallucinated,True,strict_json,True,hallucinated,False,0.36486486486486486,0.02263083451202263,False,False,Performance of neural network basecalling tools for Oxford Nanopore sequencing,2019,https://doi.org/10.1186/s13059-019-1727-y,1609.04846v1,Human health risk model for microplastic exposure in the Arctic region,"How well do Gaussian Process (GP) emulators scale to high-dimensional risk-factor spaces when approximating portfolio value functions, and what practical strategies can be used to mitigate the curse of dimensionality in this setting?"
9,source_conditioned_supported,supported,False,regex_repair,True,hallucinated,False,0.7883211678832117,0.0,True,False,Human health effects of microplastic pollution in the Arctic region,2023,"10.1016/j.scitotenv.2023.165. ""claimed_doi"": ""10.1016j. scitotenv.2023.165. ""claimed_content"": ""The impact of microplastic pollution on human health in the Arctic region.",,Human health risk model for microplastic exposure in the Arctic region,"How well do Gaussian Process (GP) emulators scale to high-dimensional risk-factor spaces when approximating portfolio value functions, and what practical strategies can be used to mitigate the curse of dimensionality in this setting?"
9,shifted_source_negative,hallucinated,False,regex_repair,True,hallucinated,False,0.25136612021857924,0.007633587786259542,False,False,Human health effects of microplastic pollution in the Arctic region,2023,"10.1016/j.scitotenv.2023.165. ""claimed_doi"": ""10.1016j. scitotenv.2023.165. ""claimed_content"": ""The impact of microplastic pollution on human health in the Arctic region.",,"Dulaglutide and cardiovascular outcomes in type 2 diabetes (REWIND): a double-blind, randomised placebo-controlled trial","How do precise measurements of the branching fractions for rare B meson decays into muon pairs constrain potential extensions of the Standard Model, and what types of new-physics scenarios are most affected by these measurements?"
10,source_conditioned_supported,supported,False,regex_repair,True,hallucinated,False,0.6666666666666666,0.0,True,False,Dulaglutide and cardiovascular outcomes in type 2 diabetes,2019,https://doi.org/10.1016/j.clinbiochem.,,"Dulaglutide and cardiovascular outcomes in type 2 diabetes (REWIND): a double-blind, randomised placebo-controlled trial","How do precise measurements of the branching fractions for rare B meson decays into muon pairs constrain potential extensions of the Standard Model, and what types of new-physics scenarios are most affected by these measurements?"
10,shifted_source_negative,hallucinated,False,regex_repair,True,hallucinated,False,0.2097902097902098,0.0,False,False,Dulaglutide and cardiovascular outcomes in type 2 diabetes,2019,https://doi.org/10.1016/j.clinbiochem.,,Strain rate-dependent failure modelling of impact damage in laminated CFRP structures,How can assigning different impact or importance values to processes be used to improve failure detection and system resilience compared to traditional binary (suspected/not suspected) failure detectors?
11,source_conditioned_supported,supported,False,regex_repair,True,hallucinated,False,0.8670520231213873,0.05217391304347826,True,False,Strain rate-dependent failure modeling of impact damage in laminated composite materials,2023,"https://doi.org/10.1016/j.compstruct.2023.117.117. ""claimed_doi"": ""https://arxiv.org/abs/1404.6415",1404.6415,Strain rate-dependent failure modelling of impact damage in laminated CFRP structures,How can assigning different impact or importance values to processes be used to improve failure detection and system resilience compared to traditional binary (suspected/not suspected) failure detectors?
11,shifted_source_negative,hallucinated,False,regex_repair,True,hallucinated,False,0.32167832167832167,0.025711662075298437,False,False,Strain rate-dependent failure modeling of impact damage in laminated composite materials,2023,"https://doi.org/10.1016/j.compstruct.2023.117.117. ""claimed_doi"": ""https://arxiv.org/abs/1404.6415",1404.6415,SciBERT: A Pretrained Language Model for Scientific Text,"How do precise measurements of rare decays such as B_s^0 → μ^+μ^- constrain theories beyond the Standard Model, and which classes of new-physics models are most strongly affected by these measurements?"
12,source_conditioned_supported,supported,False,regex_repair,True,hallucinated,False,0.873015873015873,0.10696517412935323,False,False,SciBERT: A Pre-trained Language Model for Scientific Text Classification,2020,10.1002.1186,"arX.1411.1 ""claimed_content"": ""The first measurement of the branching fraction of the branching fraction of the $B^0\to K^0$",SciBERT: A Pretrained Language Model for Scientific Text,"How do precise measurements of rare decays such as B_s^0 → μ^+μ^- constrain theories beyond the Standard Model, and which classes of new-physics models are most strongly affected by these measurements?"
12,shifted_source_negative,hallucinated,False,regex_repair,True,hallucinated,False,0.3142857142857143,0.01721170395869191,False,False,SciBERT: A Pre-trained Language Model for Scientific Text Classification,2020,10.1002.1186,"arX.1411.1 ""claimed_content"": ""The first measurement of the branching fraction of the branching fraction of the $B^0\to K^0$","Social media influencers: literature review, trends and research agenda",What practical steps can universities take to both mitigate the risks of deepfakes and responsibly harness their potential benefits for teaching and learning?
13,source_conditioned_supported,supported,False,regex_repair,True,hallucinated,False,1.0,0.1986754966887417,True,False,"Social media influencers: literature review, trends and research agenda",2023,"https://doi.org/10.1109/ijcci.2023.001 ""claimed_arxiv_id"": ""2404.15601v1 ""claimed_content"": ""The availability of software which can produce convincing yet synthetic media poses both threats and opportunities for tertiary education.","2404.15601v1 ""claimed_content"": ""The availability of software which can produce convincing yet synthetic media poses both threats and opportunities for tertiary education.","Social media influencers: literature review, trends and research agenda",What practical steps can universities take to both mitigate the risks of deepfakes and responsibly harness their potential benefits for teaching and learning?
