id,technique_id,expected_output,bucket,top_option,top_matches_expected,top_score,second_option,second_score,margin,options_ge_10,options_ge_4,relationship_evidence_count,primary_addressable,question
cti_mcq_0,T1548,B,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which of the following mitigations involves preventing applications from running that haven't been downloaded from legitimate repositories?
cti_mcq_1,T1548,D,CONFLICTING_HIGH_SUPPORT,C,False,14.0,B,14.0,0.0,3,3,6,False,Which data source is recommended for monitoring commands that may circumvent mechanisms designed to control elevation of privileges?
cti_mcq_2,T1548,C,UNSUPPORTED,C,True,0.8333,D,0.75,0.08330000000000004,0,0,6,False,What does mitigation ID M1028 suggest to prevent privilege escalation exploits on a system?
cti_mcq_3,T1548,B,UNSUPPORTED,D,False,0.25,C,0.25,0.0,0,0,6,False,Which process creation is an indicator of potential SYSTEM privilege escalation according to the detection section?
cti_mcq_4,T1548,C,AMBIGUOUS_MULTI_SOURCE,C,True,4.0,B,4.0,0.0,0,3,6,False,"In a Linux environment, what is recommended to monitor for detecting privilege escalation via sudo?"
cti_mcq_5,T1548,B,CONFLICTING_HIGH_SUPPORT,C,False,14.0,B,14.0,0.0,3,4,6,False,What mitigation ID suggests requiring a password every time sudo is executed to manage privileged accounts?
cti_mcq_6,T1548.001,D,CONFLICTING_HIGH_SUPPORT,C,False,14.0,B,14.0,0.0,3,4,6,False,"An adversary leveraging the technique ""Abuse Elevation Control Mechanism: Setuid and Setgid"" is targeting which systems from the MITRE ATT&CK Enterprise matrix?"
cti_mcq_7,T1548.001,A,UNSUPPORTED,D,False,0.5,C,0.0,0.5,0,0,6,False,Which of the following commands would an adversary use to find files with the setgid bit set on a UNIX-based system?
cti_mcq_8,T1548.001,B,DECISIVE,B,True,14.0,D,0.25,13.75,1,1,6,True,Which mitigation strategy from the MITRE ATT&CK framework is recommended to counteract the abuse of setuid and setgid bits?
cti_mcq_9,T1548.001,D,UNSUPPORTED,D,True,0.75,B,0.6667,0.08330000000000004,0,0,6,False,Which data source should you monitor to detect changes indicating abuse of setuid or setgid bits on files?
cti_mcq_10,T1134.003,D,DECISIVE,D,True,14.0,B,0.25,13.75,1,1,6,True,"Which mitigation technique, designated as M1026 under MITRE ATT&CK, should be implemented to limit permissions for users and user groups in creating tokens?"
cti_mcq_11,T1134.003,B,DECISIVE,B,True,14.0,D,0.0,14.0,1,1,5,True,"Considering MITRE ATT&CK (Enterprise), which tool is known for its ability to create tokens from known credentials as part of its procedures?"
