model,split_role,dataset,row_key,threshold,k2_correct,k8_correct,k2_margin,router_decision,router_correct,router_tokens,k2_tokens,k8_tokens,oracle_correct,oracle_tokens
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:36,1.001,False,False,0.0,ESCALATE_TO_K8,False,2287,572,2287,False,286
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:50,1.001,False,False,0.0,ESCALATE_TO_K8,False,2229,557,2229,False,279
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:57,1.001,False,False,0.0,ESCALATE_TO_K8,False,2552,638,2552,False,319
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:62,1.001,False,False,0.0,ESCALATE_TO_K8,False,2479,620,2479,False,310
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:64,1.001,False,False,0.0,ESCALATE_TO_K8,False,2644,670,2644,False,335
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:91,1.001,False,False,0.0,ESCALATE_TO_K8,False,2223,556,2223,False,278
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:96,1.001,False,False,0.0,ESCALATE_TO_K8,False,2187,548,2187,False,274
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:98,1.001,False,False,0.0,ESCALATE_TO_K8,False,2704,676,2704,False,338
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:111,1.001,False,False,0.0,ESCALATE_TO_K8,False,2496,624,2496,False,312
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:114,1.001,False,False,0.0,ESCALATE_TO_K8,False,2584,646,2584,False,323
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:173,1.001,False,False,0.0,ESCALATE_TO_K8,False,2560,640,2560,False,320
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:204,1.001,False,False,0.0,ESCALATE_TO_K8,False,2412,603,2412,False,302
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:205,1.001,False,False,0.0,ESCALATE_TO_K8,False,2631,658,2631,False,329
