source_model,target_model,evaluation_role,source_strategy,source_budget_k,target_optimal_strategy,target_optimal_budget_k,rows,source_accuracy,target_accuracy,retention,ci_low,ci_high
qwen2p5_7b_instruct,qwen2p5_7b_instruct,test_in_domain,majority_vote,8,majority_vote,8,40,0.725,0.725,1.0,1.0,1.0
qwen2p5_7b_instruct,qwen2p5_7b_instruct,strict_domain_holdout_test,majority_vote,8,majority_vote,8,80,0.225,0.225,1.0,1.0,1.0
qwen2p5_7b_instruct,qwen2p5_math_7b_instruct,test_in_domain,majority_vote,8,majority_vote,8,40,0.05,0.05,1.0,1.0,1.0
qwen2p5_7b_instruct,qwen2p5_math_7b_instruct,strict_domain_holdout_test,majority_vote,8,majority_vote,8,80,0.0625,0.0625,1.0,1.0,1.0
qwen2p5_7b_instruct,deepseek_r1_distill_qwen_7b,test_in_domain,majority_vote,8,majority_vote,8,40,0.0,0.0,,,
qwen2p5_7b_instruct,deepseek_r1_distill_qwen_7b,strict_domain_holdout_test,majority_vote,8,majority_vote,8,80,0.0,0.0,,,
qwen2p5_7b_instruct,mistral_7b_instruct_v0p3,test_in_domain,majority_vote,8,single_sample,1,40,0.075,0.025,2.9999999999999996,1.0,5.0
qwen2p5_7b_instruct,mistral_7b_instruct_v0p3,strict_domain_holdout_test,majority_vote,8,single_sample,1,80,0.075,0.0375,2.0,1.0,5.999999999999999
qwen2p5_math_7b_instruct,qwen2p5_7b_instruct,test_in_domain,majority_vote,8,majority_vote,8,40,0.725,0.725,1.0,1.0,1.0
qwen2p5_math_7b_instruct,qwen2p5_7b_instruct,strict_domain_holdout_test,majority_vote,8,majority_vote,8,80,0.225,0.225,1.0,1.0,1.0
qwen2p5_math_7b_instruct,qwen2p5_math_7b_instruct,test_in_domain,majority_vote,8,majority_vote,8,40,0.05,0.05,1.0,1.0,1.0
qwen2p5_math_7b_instruct,qwen2p5_math_7b_instruct,strict_domain_holdout_test,majority_vote,8,majority_vote,8,80,0.0625,0.0625,1.0,1.0,1.0
qwen2p5_math_7b_instruct,deepseek_r1_distill_qwen_7b,test_in_domain,majority_vote,8,majority_vote,8,40,0.0,0.0,,,
qwen2p5_math_7b_instruct,deepseek_r1_distill_qwen_7b,strict_domain_holdout_test,majority_vote,8,majority_vote,8,80,0.0,0.0,,,
qwen2p5_math_7b_instruct,mistral_7b_instruct_v0p3,test_in_domain,majority_vote,8,single_sample,1,40,0.075,0.025,2.9999999999999996,1.0,5.999999999999999
qwen2p5_math_7b_instruct,mistral_7b_instruct_v0p3,strict_domain_holdout_test,majority_vote,8,single_sample,1,80,0.075,0.0375,2.0,1.0,5.5
deepseek_r1_distill_qwen_7b,qwen2p5_7b_instruct,test_in_domain,majority_vote,8,majority_vote,8,40,0.725,0.725,1.0,1.0,1.0
deepseek_r1_distill_qwen_7b,qwen2p5_7b_instruct,strict_domain_holdout_test,majority_vote,8,majority_vote,8,80,0.225,0.225,1.0,1.0,1.0
deepseek_r1_distill_qwen_7b,qwen2p5_math_7b_instruct,test_in_domain,majority_vote,8,majority_vote,8,40,0.05,0.05,1.0,1.0,1.0
deepseek_r1_distill_qwen_7b,qwen2p5_math_7b_instruct,strict_domain_holdout_test,majority_vote,8,majority_vote,8,80,0.0625,0.0625,1.0,1.0,1.0
deepseek_r1_distill_qwen_7b,deepseek_r1_distill_qwen_7b,test_in_domain,majority_vote,8,majority_vote,8,40,0.0,0.0,,,
deepseek_r1_distill_qwen_7b,deepseek_r1_distill_qwen_7b,strict_domain_holdout_test,majority_vote,8,majority_vote,8,80,0.0,0.0,,,
deepseek_r1_distill_qwen_7b,mistral_7b_instruct_v0p3,test_in_domain,majority_vote,8,single_sample,1,40,0.075,0.025,2.9999999999999996,1.0,5.0
deepseek_r1_distill_qwen_7b,mistral_7b_instruct_v0p3,strict_domain_holdout_test,majority_vote,8,single_sample,1,80,0.075,0.0375,2.0,1.0,5.999999999999999
mistral_7b_instruct_v0p3,qwen2p5_7b_instruct,test_in_domain,single_sample,1,majority_vote,8,40,0.6,0.725,0.8275862068965517,0.6799999999999999,0.9615384615384615
mistral_7b_instruct_v0p3,qwen2p5_7b_instruct,strict_domain_holdout_test,single_sample,1,majority_vote,8,80,0.225,0.225,1.0,0.8,1.25
mistral_7b_instruct_v0p3,qwen2p5_math_7b_instruct,test_in_domain,single_sample,1,majority_vote,8,40,0.025,0.05,0.5,0.0,2.9999999999999996
mistral_7b_instruct_v0p3,qwen2p5_math_7b_instruct,strict_domain_holdout_test,single_sample,1,majority_vote,8,80,0.05,0.0625,0.8,0.33333333333333337,1.0
mistral_7b_instruct_v0p3,deepseek_r1_distill_qwen_7b,test_in_domain,single_sample,1,majority_vote,8,40,0.0,0.0,,,
mistral_7b_instruct_v0p3,deepseek_r1_distill_qwen_7b,strict_domain_holdout_test,single_sample,1,majority_vote,8,80,0.0,0.0,,,
mistral_7b_instruct_v0p3,mistral_7b_instruct_v0p3,test_in_domain,single_sample,1,single_sample,1,40,0.025,0.025,1.0,1.0,1.0
mistral_7b_instruct_v0p3,mistral_7b_instruct_v0p3,strict_domain_holdout_test,single_sample,1,single_sample,1,80,0.0375,0.0375,1.0,1.0,1.0
