condition,bucket,rows,correct,accuracy,invalid,invalid_rate
relationship_evidence,AMBIGUOUS_MULTI_SOURCE,28,20,0.7142857142857143,0,0.0
relationship_evidence,CONFLICTING_HIGH_SUPPORT,179,145,0.8100558659217877,0,0.0
relationship_evidence,DECISIVE,106,96,0.9056603773584906,0,0.0
relationship_evidence,UNSUPPORTED,150,116,0.7733333333333333,0,0.0
relationship_evidence,WEAK_SINGLE_SOURCE,37,34,0.918918918918919,0,0.0
vanilla,AMBIGUOUS_MULTI_SOURCE,28,15,0.5357142857142857,0,0.0
vanilla,CONFLICTING_HIGH_SUPPORT,179,95,0.5307262569832403,0,0.0
vanilla,DECISIVE,106,66,0.6226415094339622,0,0.0
vanilla,UNSUPPORTED,150,104,0.6933333333333334,0,0.0
vanilla,WEAK_SINGLE_SOURCE,37,27,0.7297297297297297,0,0.0
