event_index,timestamp_utc,timestamp_ms,timestamp_ns,day,day_title,stage_label,hosts,description
0,2019-09-23T11:23:29Z,1569237809000,1569237809000000000,1,Plain PowerShell Empire,command_and_control,sysclient0201,"Manually accessed console on Sysclient0201 and navigated to news.com:8000 to download runme.bat, a malicious news.com PowerShell empire stager"
1,2019-09-23T11:24:19Z,1569237859000,1569237859000000000,1,Plain PowerShell Empire,attack_activity,sysclient0201,"Sysclient0201, closed Firefox tab and deleted runme.bat"
2,2019-09-23T11:24:54Z,1569237894000,1569237894000000000,1,Plain PowerShell Empire,command_and_control,sysclient0201,Successful check-in for Agent VL8B5T3U on Sysclient0201 IP 142.20.56.202
3,2019-09-23T11:26:02Z,1569237962000,1569237962000000000,1,Plain PowerShell Empire,persistence,sysclient0201,"On Sysclient0201 agent VL8B5T3U, Used PowerShell Empire Module Bypasses UAC, which performs a registry modification of the ""windir"" value in ""Environment"" to bypass UAC."
4,2019-09-23T11:26:38Z,1569237998000,1569237998000000000,1,Plain PowerShell Empire,command_and_control,sysclient0201,"On sysclient0201, successful check-in of elevated agent LUAVR71T"
5,2019-09-23T11:26:56Z,1569238016000,1569238016000000000,1,Plain PowerShell Empire,command_and_control,sysclient0201,"On Sysclient0201, killing agent VL8B5T3U"
6,2019-09-23T11:33:14Z,1569238394000,1569238394000000000,1,Plain PowerShell Empire,credential_access,sysclient0201,"On Sysclient0201 agent LUAVR71T, ran Mimikatz to collect clear text passwords in memory"
7,2019-09-23T11:35:26Z,1569238526000,1569238526000000000,1,Plain PowerShell Empire,credential_access,sysclient0201,"On Sysclient0201 agent LUAVR71T, obtained password for user systemia.com\zleazer via Mimikatz"
8,2019-09-23T11:37:15Z,1569238635000,1569238635000000000,1,Plain PowerShell Empire,command_and_control,sysclient0201,"On Sysclient0201 agent LUAVR71T, used psinject to inject into the LSASS process"
9,2019-09-23T11:38:09Z,1569238689000,1569238689000000000,1,Plain PowerShell Empire,command_and_control,sysclient0201,"On Sysclient0201 agent LUAVR71T, Process injection seems to have failed."
10,2019-09-23T11:39:25Z,1569238765000,1569238765000000000,1,Plain PowerShell Empire,persistence,sysclient0201,"On Sysclient0201 agent LUAVR71T, established persistence by modifying HKCU:Software\Microsoft\Windows\CurrentVersion\Debug registry entry"
